Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
low,vhigh,2,,med,low,unacc
med,vhigh,2,4,,high,acc
high,med,,more,small,low,unacc
vhigh,,3,4,med,high,acc
low,low,5more,,small,low,unacc
vhigh,med,2,2,,low,unacc
med,low,4,more,small,,unacc
vhigh,vhigh,3,2,,med,unacc
med,low,,more,med,med,good
high,vhigh,5more,4,med,,unacc
low,med,,4,big,low,unacc
med,vhigh,2,,med,high,acc
high,high,5more,more,small,,unacc
med,high,2,more,small,,unacc
high,med,4,4,,high,acc
high,med,3,4,big,,acc
low,med,,more,big,high,vgood
med,med,,4,med,low,unacc
high,high,,2,med,med,unacc
vhigh,vhigh,2,,big,high,unacc
vhigh,med,,4,med,high,acc
high,low,3,more,,low,unacc
vhigh,,2,more,big,high,unacc
vhigh,,2,4,med,med,unacc
,high,3,2,big,low,unacc
vhigh,vhigh,3,,med,low,unacc
low,low,,2,big,med,unacc
,vhigh,5more,more,big,high,unacc
vhigh,low,2,more,,high,acc
,vhigh,4,2,small,high,unacc
vhigh,med,2,more,,high,acc
vhigh,high,5more,more,big,,unacc
vhigh,high,,4,med,med,unacc
med,,2,4,small,low,unacc
med,vhigh,5more,,med,med,acc
high,low,3,,small,high,acc
,vhigh,4,more,small,med,unacc
high,,4,2,med,low,unacc
low,high,5more,2,big,,unacc
vhigh,vhigh,4,more,,low,unacc
,vhigh,5more,2,small,high,unacc
vhigh,vhigh,3,more,,med,unacc
low,high,3,4,,med,acc
high,,5more,4,small,high,unacc
vhigh,,2,4,big,high,acc
high,high,5more,more,,low,unacc
low,med,3,,small,low,unacc
low,vhigh,,2,big,med,unacc
med,high,4,4,,high,acc
high,vhigh,5more,,med,low,unacc
,med,3,2,small,high,unacc
low,vhigh,2,2,,high,unacc
high,high,4,,small,med,unacc
high,vhigh,3,,big,med,unacc
med,,5more,more,big,med,good
high,,3,2,big,low,unacc
low,high,4,,big,low,unacc
med,,3,2,small,low,unacc
low,vhigh,3,4,,high,acc
,vhigh,4,2,big,med,unacc
low,low,5more,,med,low,unacc
vhigh,vhigh,5more,,med,low,unacc
high,med,2,,small,med,unacc
med,vhigh,4,,med,high,unacc
low,low,5more,more,big,,good
,high,5more,2,big,low,unacc
vhigh,,4,4,small,high,acc
high,med,3,more,,low,unacc
low,,4,2,med,low,unacc
,low,3,4,small,low,unacc
,low,3,2,big,high,unacc
high,vhigh,5more,,big,med,unacc
low,low,,4,big,med,good
,low,5more,2,small,high,unacc
med,high,3,4,big,,unacc
high,,5more,4,small,high,acc
vhigh,high,4,more,,low,unacc
med,,5more,4,big,med,acc
low,low,2,,big,high,vgood
vhigh,high,2,2,,low,unacc
,high,5more,2,big,low,unacc
med,med,4,4,,med,acc
vhigh,vhigh,3,,big,med,unacc
high,med,,more,small,low,unacc
vhigh,high,,more,small,low,unacc
vhigh,high,5more,,big,med,unacc
,high,5more,2,med,low,unacc
vhigh,vhigh,3,,big,high,unacc
med,low,5more,,med,med,good
,high,2,2,big,low,unacc
vhigh,vhigh,4,4,big,,unacc
med,low,3,2,,low,unacc
high,vhigh,4,more,med,,unacc
low,low,4,more,,low,unacc
vhigh,low,2,2,big,,unacc
med,high,2,,med,med,unacc
vhigh,high,4,,med,med,unacc
vhigh,high,3,,med,low,unacc
med,vhigh,3,4,small,,unacc
high,low,3,4,,high,acc
,high,2,more,big,med,unacc
vhigh,,5more,2,small,low,unacc
low,low,3,,small,low,unacc
,vhigh,5more,more,big,med,unacc
,low,5more,2,big,low,unacc
high,high,2,2,small,,unacc
med,,2,2,small,low,unacc
high,,3,more,med,med,unacc
vhigh,high,4,2,med,,unacc
vhigh,,3,2,big,low,unacc
vhigh,med,,4,small,high,acc
high,vhigh,,4,big,low,unacc
med,high,2,4,small,,acc
,low,5more,more,med,med,acc
vhigh,low,2,4,,high,acc
med,,5more,2,small,low,unacc
,low,5more,4,med,med,acc
vhigh,vhigh,,4,big,high,unacc
low,low,2,,small,med,acc
low,low,,2,small,med,unacc
high,med,,4,small,low,unacc
med,,2,4,small,med,acc
low,med,2,,med,high,unacc
vhigh,low,,4,big,high,acc
vhigh,,5more,more,med,med,unacc
,vhigh,2,2,med,low,unacc
vhigh,vhigh,4,more,med,,unacc
,med,3,2,big,med,unacc
med,vhigh,,more,small,med,unacc
low,low,,more,small,high,good
vhigh,,2,4,med,med,unacc
low,med,4,,small,med,unacc
med,vhigh,4,2,small,,unacc
vhigh,med,,2,big,low,unacc
low,high,,more,big,low,unacc
low,,3,4,big,low,unacc
low,vhigh,5more,,big,high,acc
high,low,,4,big,low,unacc
high,low,2,,big,med,unacc
high,med,5more,,med,high,unacc
med,high,2,,small,low,unacc
vhigh,low,,4,small,high,acc
vhigh,med,2,more,,high,unacc
low,high,5more,4,,low,unacc
low,med,4,,med,med,good
vhigh,med,,more,big,med,acc
vhigh,med,,4,small,low,unacc
low,vhigh,,4,med,med,unacc
low,vhigh,2,2,,low,unacc
vhigh,high,2,4,small,,unacc
low,vhigh,,4,med,med,acc
,med,2,more,big,high,acc
vhigh,med,3,,big,med,unacc
,low,4,4,small,med,acc
med,low,3,more,small,,acc
vhigh,vhigh,4,more,,low,unacc
vhigh,vhigh,5more,4,med,,unacc
low,high,5more,more,small,,unacc
vhigh,vhigh,3,,big,med,unacc
high,low,3,4,big,,acc
med,low,4,more,,high,good
low,high,,4,med,med,acc
high,,2,4,big,high,unacc
high,vhigh,,4,med,high,unacc
high,low,2,4,,med,acc
high,,4,4,big,low,unacc
med,,2,4,big,high,vgood
low,vhigh,3,more,,high,acc
vhigh,vhigh,2,2,,med,unacc
low,,4,2,small,high,unacc
vhigh,vhigh,5more,2,,high,unacc
med,med,3,4,small,,acc
high,med,3,2,,high,unacc
low,high,2,4,big,,vgood
high,,2,4,big,low,unacc
low,med,2,more,,med,good
med,med,3,2,,med,unacc
low,,5more,4,big,med,good
,low,5more,4,big,med,good
,low,5more,2,small,low,unacc
low,high,5more,4,,med,acc
med,,3,4,big,low,unacc
vhigh,,5more,more,big,low,unacc
high,med,3,4,med,,acc
med,med,,more,med,med,acc
,low,4,4,big,high,acc
vhigh,vhigh,4,,small,low,unacc
high,low,5more,4,big,,acc
med,med,5more,,med,med,unacc
vhigh,med,2,,big,high,unacc
,high,3,4,small,high,unacc
vhigh,low,3,more,med,,acc
med,low,3,4,small,,unacc
low,med,4,4,small,,unacc
med,low,5more,,med,low,unacc
low,vhigh,5more,2,,high,unacc
,med,2,more,med,med,acc
vhigh,vhigh,2,,small,med,unacc
high,vhigh,,more,small,low,unacc
high,med,4,2,big,,unacc
vhigh,,3,4,med,med,unacc
med,,2,more,small,med,unacc
vhigh,,4,4,med,low,unacc
,vhigh,3,more,small,low,unacc
med,vhigh,4,2,,med,unacc
low,high,4,,small,low,unacc
low,med,4,more,,low,unacc
,vhigh,3,2,small,high,unacc
med,med,2,,med,low,unacc
med,vhigh,5more,4,,high,acc
high,vhigh,4,4,big,,unacc
,med,5more,4,small,high,acc
low,,5more,2,small,med,unacc
med,vhigh,2,2,,high,unacc
high,med,5more,2,med,,unacc
high,high,2,2,small,,unacc
high,med,3,more,med,,acc
low,vhigh,,4,med,low,unacc
med,,5more,more,big,med,acc
,high,4,2,big,low,unacc
vhigh,low,3,,med,med,acc
high,med,,more,small,high,unacc
low,vhigh,,more,med,high,acc
vhigh,low,3,,big,med,unacc
,vhigh,5more,more,med,high,acc
,low,3,2,small,med,unacc
high,med,5more,,big,med,unacc
med,high,4,4,small,,unacc
,vhigh,5more,more,big,high,acc
low,vhigh,2,more,,med,unacc
low,med,,4,med,med,acc
med,low,5more,more,,low,unacc
low,high,4,2,big,,unacc
low,,4,4,small,high,good
,vhigh,2,more,med,med,unacc
vhigh,vhigh,4,,big,high,unacc
high,low,,2,med,high,unacc
med,med,3,2,big,,unacc
high,med,2,more,,low,unacc
low,vhigh,3,2,,high,unacc
vhigh,,4,2,med,med,unacc
vhigh,,2,more,big,high,unacc
med,vhigh,4,,big,med,acc
low,high,4,2,,low,unacc
high,low,4,4,med,,acc
high,vhigh,4,more,small,,unacc
,med,2,more,med,low,unacc
,low,2,more,big,low,unacc
vhigh,low,4,4,small,,unacc
med,,3,more,big,high,acc
med,vhigh,3,,med,med,unacc
high,low,4,more,small,,unacc
low,,2,4,small,low,unacc
high,vhigh,3,,big,high,unacc
med,low,5more,2,small,,unacc
med,low,3,more,,med,good
high,med,2,2,med,,unacc
vhigh,high,4,4,,high,unacc
vhigh,,3,4,med,low,unacc
high,med,,4,med,low,unacc
,vhigh,5more,4,small,med,unacc
low,,3,more,med,med,good
,vhigh,2,4,med,low,unacc
,med,5more,4,small,high,good
,med,2,4,med,high,acc
med,med,5more,4,med,,acc
low,low,,4,med,med,good
high,vhigh,4,4,,high,unacc
vhigh,low,,4,big,low,unacc
vhigh,vhigh,3,,small,high,unacc
,low,4,more,med,med,good
low,med,4,,med,low,unacc
med,vhigh,5more,2,small,,unacc
vhigh,high,4,2,big,,unacc
med,,3,more,med,med,acc
high,vhigh,4,,big,low,unacc
med,vhigh,,4,small,low,unacc
med,,2,more,small,low,unacc
med,,4,2,big,med,unacc
high,high,3,,med,low,unacc
high,,5more,more,med,med,acc
high,med,2,4,small,,unacc
vhigh,med,2,more,small,,unacc
,med,5more,2,med,med,unacc
low,low,,2,med,low,unacc
low,high,2,,med,med,unacc
med,vhigh,4,,big,high,acc
med,high,5more,4,med,,acc
vhigh,,2,2,small,med,unacc
low,vhigh,3,,small,high,acc
,high,3,2,small,high,unacc
med,,3,2,small,low,unacc
med,vhigh,5more,,med,low,unacc
med,high,4,,med,high,acc
med,med,5more,2,med,,unacc
,med,5more,more,small,high,good
med,low,4,2,med,,unacc
,vhigh,2,more,med,low,unacc
low,high,3,,big,high,vgood
high,low,,4,med,high,acc
high,med,,2,big,low,unacc
,med,4,4,big,med,acc
,vhigh,2,more,med,high,unacc
,med,3,more,med,med,acc
vhigh,vhigh,4,more,,med,unacc
high,vhigh,2,,med,med,unacc
vhigh,low,4,more,,low,unacc
vhigh,high,4,4,big,,unacc
med,,4,4,big,high,acc
low,high,5more,4,,high,vgood
med,,2,more,small,med,unacc
med,low,2,2,,med,unacc
high,,4,2,small,high,unacc
vhigh,vhigh,4,2,,high,unacc
med,vhigh,2,4,small,,unacc
,low,5more,4,big,high,vgood
low,med,5more,,big,high,vgood
vhigh,,4,4,small,low,unacc
vhigh,vhigh,3,,small,med,unacc
high,med,,4,big,low,unacc
low,,3,more,small,med,acc
med,,4,2,med,low,unacc
med,,2,2,big,low,unacc
low,vhigh,4,,small,med,unacc
high,med,,4,small,med,unacc
vhigh,,5more,2,med,low,unacc
med,vhigh,4,2,small,,unacc
high,,2,more,big,med,unacc
high,med,,2,small,med,unacc
high,low,2,2,med,,unacc
low,med,,more,small,high,good
,med,5more,2,small,low,unacc
vhigh,low,5more,2,big,,unacc
med,med,2,,small,med,unacc
,low,4,4,big,med,acc
high,,4,more,med,high,acc
vhigh,,2,2,big,med,unacc
vhigh,low,5more,4,med,,acc
low,low,2,,big,low,unacc
,vhigh,5more,more,big,med,acc
,high,4,4,small,high,acc
low,low,3,2,,med,unacc
,vhigh,5more,4,small,low,unacc
high,,5more,4,med,low,unacc
low,vhigh,2,,small,low,unacc
low,low,,2,med,low,unacc
high,med,,more,big,med,acc
,vhigh,4,4,med,med,unacc
vhigh,,2,4,med,low,unacc
vhigh,low,4,,small,med,unacc
vhigh,med,4,4,,low,unacc
med,high,,4,med,high,acc
med,low,2,2,,med,unacc
high,med,3,4,big,,acc
,high,5more,more,med,low,unacc
low,med,5more,more,,high,vgood
,med,3,4,big,low,unacc
high,,5more,4,big,low,unacc
vhigh,high,3,,big,med,unacc
med,,3,2,med,high,unacc
,med,3,2,small,low,unacc
,med,3,4,big,low,unacc
vhigh,low,2,4,med,,unacc
low,,2,2,small,low,unacc
med,high,4,4,med,,acc
high,,5more,2,med,low,unacc
med,high,3,,big,high,acc
high,low,2,4,med,,unacc
low,high,5more,,big,med,acc
high,,2,2,big,low,unacc
,low,2,4,big,med,good
med,low,4,more,,low,unacc
low,,5more,4,small,high,good
high,vhigh,5more,,small,low,unacc
,vhigh,2,more,med,high,unacc
vhigh,low,,2,big,low,unacc
,high,3,more,big,high,vgood
vhigh,low,2,,big,high,acc
high,vhigh,,2,small,low,unacc
high,vhigh,,4,big,low,unacc
vhigh,med,2,,small,high,unacc
med,,3,more,med,low,unacc
med,low,3,4,med,,acc
low,vhigh,5more,2,med,,unacc
med,high,3,4,med,,unacc
low,low,4,2,big,,unacc
,vhigh,5more,4,med,med,unacc
med,high,3,,small,med,unacc
med,high,5more,,small,low,unacc
med,med,2,4,med,,acc
low,med,,more,big,low,unacc
,med,3,more,med,med,acc
low,med,3,2,,high,unacc
med,high,2,,big,med,acc
vhigh,,3,more,small,med,unacc
,med,2,more,small,high,unacc
low,high,5more,2,,med,unacc
low,low,5more,more,big,,unacc
high,low,3,2,big,,unacc
high,high,3,4,,high,acc
high,,4,2,small,high,unacc
med,low,,more,big,med,good
low,high,3,4,,high,acc
med,low,4,more,small,,acc
high,vhigh,,2,small,high,unacc
high,high,2,more,small,,unacc
med,med,4,,big,high,unacc
med,med,3,4,,med,acc
,low,3,more,small,med,unacc
high,vhigh,5more,2,small,,unacc
high,high,5more,,med,med,acc
med,low,5more,2,big,,unacc
low,med,3,2,,med,unacc
med,med,4,,big,high,vgood
high,low,3,2,,high,unacc
vhigh,high,,4,small,low,unacc
high,,5more,4,med,low,unacc
med,,2,2,small,high,unacc
,low,4,more,med,low,unacc
vhigh,high,2,4,med,,unacc
high,,2,4,small,low,unacc
,low,2,more,med,low,unacc
,high,5more,4,big,low,unacc
vhigh,low,3,,small,med,unacc
,med,3,more,big,high,acc
high,med,,2,big,high,unacc
med,vhigh,4,,small,low,unacc
high,low,,4,med,med,acc
,vhigh,2,2,med,low,unacc
,vhigh,3,more,small,high,unacc
low,low,3,,big,med,unacc
med,high,2,more,small,,unacc
med,,2,4,med,med,unacc
high,low,,more,small,low,unacc
med,,3,2,med,high,unacc
low,,5more,more,big,high,vgood
vhigh,vhigh,2,2,,high,unacc
med,high,3,,med,high,unacc
low,high,5more,2,,med,unacc
vhigh,med,3,,med,low,unacc
low,vhigh,4,,big,high,unacc
low,med,,4,med,low,unacc
high,vhigh,2,4,med,,unacc
med,high,3,2,,med,unacc
med,high,5more,,big,med,acc
high,low,,2,small,med,unacc
low,med,3,2,big,,unacc
vhigh,med,5more,2,big,,unacc
low,,3,more,med,high,acc
vhigh,,5more,4,big,high,acc
vhigh,high,,4,big,low,unacc
,med,4,4,big,low,unacc
,low,2,more,big,high,vgood
,high,3,2,big,high,unacc
,vhigh,3,more,big,low,unacc
low,vhigh,,more,small,med,unacc
high,med,4,more,,med,acc
high,low,4,more,,low,unacc
med,med,3,4,small,,unacc
med,,5more,2,big,low,unacc
high,vhigh,3,4,med,,unacc
,high,2,2,small,low,unacc
high,med,,2,big,low,unacc
vhigh,low,4,more,,med,acc
,vhigh,4,more,big,high,unacc
,med,5more,more,big,low,unacc
vhigh,vhigh,2,,small,high,unacc
high,med,3,4,small,,unacc
vhigh,vhigh,3,4,small,,unacc
med,,3,4,med,low,unacc
high,,4,more,small,low,unacc
low,med,3,4,small,,good
vhigh,low,5more,,med,low,unacc
med,vhigh,,2,med,low,unacc
high,vhigh,,more,big,med,unacc
high,low,2,2,,low,unacc
med,high,5more,,small,med,unacc
med,low,,4,med,low,unacc
vhigh,med,3,2,med,,unacc
,med,3,more,med,low,unacc
high,,3,2,small,high,unacc
high,vhigh,4,,med,med,unacc
vhigh,high,3,more,small,,unacc
med,vhigh,,4,big,high,acc
high,low,5more,4,,high,acc
low,vhigh,2,4,,med,acc
high,high,,2,med,high,unacc
high,,3,4,small,high,acc
high,high,3,2,med,,unacc
low,low,2,more,,med,acc
vhigh,vhigh,2,more,small,,unacc
vhigh,high,,more,small,high,unacc
,vhigh,3,more,big,low,unacc
med,low,5more,,small,high,good
low,low,4,,med,high,vgood
med,vhigh,4,4,,med,unacc
med,high,,4,small,low,unacc
low,low,4,more,,med,acc
vhigh,,5more,2,small,high,unacc
med,med,4,,big,low,unacc
med,high,,more,med,low,unacc
,low,4,4,small,high,good
low,high,,2,small,high,unacc
high,high,4,4,med,,acc
vhigh,high,4,more,,med,unacc
vhigh,med,5more,2,,high,unacc
high,vhigh,,4,small,high,unacc
low,med,2,4,,med,acc
,low,5more,2,small,high,unacc
low,high,2,4,med,,acc
high,vhigh,5more,2,,high,unacc
,high,5more,4,big,high,acc
high,,3,more,small,low,unacc
vhigh,high,3,,med,high,unacc
med,low,4,2,small,,unacc
,low,2,2,big,high,unacc
vhigh,vhigh,2,,big,high,unacc
med,high,,more,small,high,acc
low,low,4,more,,high,vgood
high,high,2,,big,med,unacc
high,med,2,,small,high,acc
low,high,2,2,,high,unacc
med,,3,more,med,low,unacc
low,high,3,more,small,,acc
,vhigh,5more,4,big,low,unacc
low,low,2,,small,high,unacc
vhigh,med,4,,med,high,acc
,low,3,4,big,low,unacc
low,high,2,2,med,,unacc
,med,2,4,small,med,unacc
,vhigh,3,2,small,low,unacc
low,low,4,,small,med,unacc
high,,2,2,big,low,unacc
low,low,,2,med,high,unacc
low,vhigh,5more,,med,low,unacc
vhigh,med,2,4,med,,acc
vhigh,vhigh,3,4,,high,unacc
high,med,5more,more,med,,unacc
med,high,4,,small,high,acc
high,,3,4,small,high,unacc
low,high,,2,big,med,unacc
,low,4,more,med,med,good
high,med,3,,med,med,unacc
low,med,4,more,med,,good
high,high,5more,more,,med,unacc
low,low,5more,4,med,,vgood
med,low,3,2,,med,unacc
med,,4,more,big,med,acc
low,high,3,2,small,,unacc
low,,2,2,med,high,unacc
low,low,,4,big,med,good
high,low,3,,small,low,unacc
,high,3,more,big,high,unacc
med,,5more,4,med,low,unacc
med,med,5more,,big,high,vgood
high,low,4,4,med,,unacc
low,high,3,more,,med,acc
med,vhigh,,4,med,high,acc
med,vhigh,3,,med,high,acc
vhigh,,3,more,small,low,unacc
low,med,,4,big,high,vgood
high,vhigh,,more,big,low,unacc
med,,4,2,small,high,unacc
med,low,4,4,,low,unacc
,high,5more,2,med,high,unacc
vhigh,vhigh,5more,,med,high,unacc
high,high,,more,small,high,acc
low,,2,4,big,low,unacc
med,med,4,4,small,,acc
vhigh,vhigh,,2,small,low,unacc
,high,3,4,big,high,unacc
vhigh,low,4,more,,high,acc
,low,4,2,small,low,unacc
vhigh,high,,more,small,med,unacc
low,low,2,4,small,,good
med,med,3,4,,med,acc
,med,2,2,small,low,unacc
vhigh,vhigh,2,4,small,,unacc
med,,3,4,big,med,acc
low,med,,4,small,med,acc
,high,5more,2,big,high,unacc
high,vhigh,2,more,,low,unacc
vhigh,med,3,4,,high,acc
low,vhigh,3,2,,high,unacc
med,vhigh,,2,big,low,unacc
,low,5more,2,big,med,unacc
med,vhigh,2,4,big,,acc
low,,2,2,big,low,unacc
high,high,,2,med,low,unacc
vhigh,low,2,,med,med,unacc
,high,4,4,big,high,vgood
vhigh,,3,more,small,high,acc
low,vhigh,2,more,big,,acc
low,high,3,,big,high,unacc
,high,3,4,big,med,unacc
high,vhigh,3,4,med,,unacc
,high,5more,more,small,high,acc
,low,5more,4,small,med,acc
low,low,,2,med,low,unacc
high,high,,4,small,high,acc
med,vhigh,,4,small,high,acc
high,vhigh,4,2,,low,unacc
low,med,,more,big,low,unacc
med,med,5more,4,,high,acc
vhigh,high,,4,med,low,unacc
low,,3,4,med,high,good
vhigh,low,,more,big,med,acc
,vhigh,5more,4,small,med,unacc
low,med,5more,more,,med,good
high,med,2,,med,low,unacc
low,vhigh,4,more,,high,acc
high,vhigh,,2,med,high,unacc
low,,4,2,small,low,unacc
vhigh,high,,more,big,med,unacc
med,med,4,4,,high,vgood
med,low,3,,small,med,acc
,high,4,4,big,low,unacc
vhigh,high,,4,small,low,unacc
high,med,,more,med,high,acc
med,high,,4,small,med,unacc
vhigh,,5more,4,small,low,unacc
med,vhigh,2,more,small,,unacc
,med,4,4,small,med,unacc
,med,4,more,big,low,unacc
low,,4,2,big,low,unacc
vhigh,low,4,more,,high,acc
vhigh,high,,4,big,low,unacc
med,,2,more,small,high,unacc
vhigh,high,5more,,med,high,unacc
low,,4,2,med,high,unacc
high,,4,more,big,high,acc
vhigh,med,3,,med,med,unacc
low,high,3,4,small,,unacc
low,low,2,4,big,,vgood
low,low,,2,small,med,unacc
med,med,4,more,small,,acc
low,high,,more,med,high,acc
vhigh,low,,2,big,med,unacc
low,,2,2,big,low,unacc
high,,5more,more,small,low,unacc
vhigh,med,2,2,med,,unacc
high,high,5more,more,med,,unacc
vhigh,vhigh,2,2,,high,unacc
vhigh,high,2,2,med,,unacc
high,med,3,more,big,,unacc
low,,3,2,small,med,unacc
med,vhigh,5more,2,big,,unacc
,high,5more,more,big,high,vgood
low,high,2,2,big,,unacc
low,high,,2,big,low,unacc
med,low,5more,,med,high,vgood
low,med,3,more,med,,unacc
high,vhigh,,4,small,med,unacc
med,med,4,2,med,,unacc
med,low,4,4,big,,unacc
low,med,5more,4,med,,good
low,vhigh,5more,more,,low,unacc
high,med,2,4,big,,acc
low,med,4,4,,med,good
med,low,4,,big,med,good
low,med,2,,small,high,unacc
vhigh,,5more,more,med,low,unacc
high,med,2,2,small,,unacc
,high,3,2,med,med,unacc
,high,4,more,med,med,acc
high,med,4,,big,high,unacc
low,,5more,2,big,low,unacc
med,low,5more,4,,high,vgood
med,high,2,2,small,,unacc
high,high,,2,big,med,unacc
high,high,5more,4,med,,unacc
,vhigh,2,4,small,high,acc
low,vhigh,,more,big,low,unacc
low,high,2,2,med,,unacc
med,low,4,2,big,,unacc
low,low,4,4,small,,unacc
,low,4,4,med,med,good
low,high,5more,4,med,,unacc
low,,4,more,med,med,acc
low,med,2,,small,low,unacc
low,vhigh,,2,med,high,unacc
,low,3,4,small,high,good
low,med,,2,small,low,unacc
high,low,3,4,,med,unacc
high,high,5more,more,,med,acc
med,high,3,,med,high,acc
high,,2,4,big,high,acc
high,med,,2,big,med,unacc
high,high,3,4,,high,acc
med,med,3,2,,low,unacc
med,low,4,more,big,,good
med,med,5more,,med,high,vgood
high,vhigh,5more,4,med,,unacc
med,high,5more,,big,med,unacc
high,high,2,,small,med,unacc
med,low,,2,big,med,unacc
high,med,5more,,small,high,acc
low,med,5more,,med,low,unacc
low,,3,2,small,low,unacc
,vhigh,3,more,big,high,unacc
,vhigh,5more,4,big,low,unacc
med,high,,more,med,med,acc
high,high,2,more,,low,unacc
med,low,4,more,med,,vgood
,med,5more,4,med,high,acc
med,vhigh,2,2,,low,unacc
low,,5more,2,small,low,unacc
med,vhigh,3,,small,med,unacc
,high,4,4,med,med,acc
vhigh,,5more,more,small,low,unacc
vhigh,low,4,4,,low,unacc
high,low,3,4,med,,unacc
med,vhigh,2,2,,med,unacc
vhigh,low,4,more,,high,acc
high,,2,4,small,high,acc
low,low,,2,small,low,unacc
,low,4,2,small,low,unacc
med,high,4,2,,low,unacc
high,high,,more,med,med,acc
low,low,2,,big,high,unacc
,high,4,more,small,med,unacc
med,vhigh,5more,4,big,,acc
low,med,4,2,,high,unacc
high,,4,more,big,low,unacc
high,med,3,4,,low,unacc
vhigh,vhigh,5more,,small,low,unacc
high,low,3,more,med,,acc
vhigh,low,5more,2,,high,unacc
high,vhigh,4,4,big,,unacc
med,high,5more,more,,med,unacc
med,high,5more,,med,med,unacc
med,,4,4,med,low,unacc
high,low,2,more,,low,unacc
vhigh,,5more,4,med,low,unacc
vhigh,,3,2,small,low,unacc
med,high,4,more,big,,acc
vhigh,vhigh,3,4,med,,unacc
med,high,3,,small,med,unacc
vhigh,med,2,,big,low,unacc
low,med,2,,small,high,unacc
vhigh,low,4,2,small,,unacc
,med,4,more,small,med,unacc
,low,5more,4,med,high,acc
vhigh,low,,4,med,high,acc
high,high,3,more,big,,acc
low,med,,4,small,high,good
med,,5more,2,small,high,unacc
med,med,2,2,big,,unacc
low,,5more,4,small,high,acc
high,,2,2,small,low,unacc
med,med,,more,small,med,acc
low,vhigh,4,,small,low,unacc
high,vhigh,5more,,big,high,unacc
,vhigh,4,4,small,high,unacc
vhigh,vhigh,,4,big,low,unacc
med,,5more,more,small,high,acc
med,high,5more,,med,low,unacc
high,,4,2,big,med,unacc
vhigh,low,4,2,,high,unacc
,high,4,more,big,high,unacc
high,,2,2,big,high,unacc
vhigh,med,2,2,,med,unacc
high,,3,4,small,low,unacc
med,high,,more,big,low,unacc
med,vhigh,2,4,big,,unacc
vhigh,low,,4,med,high,acc
high,med,4,more,small,,unacc
,med,4,more,big,high,acc
med,high,3,,small,low,unacc
med,,5more,2,big,med,unacc
,high,5more,2,small,med,unacc
,vhigh,2,more,big,low,unacc
,low,5more,more,med,high,vgood
high,low,4,2,big,,unacc
vhigh,med,,2,small,low,unacc
med,,2,more,big,low,unacc
vhigh,high,5more,,med,med,unacc
vhigh,high,4,,small,low,unacc
low,med,,4,med,high,vgood
high,med,,2,small,med,unacc
vhigh,,4,more,big,low,unacc
high,med,,2,small,med,unacc
low,high,5more,4,,med,acc
med,med,3,more,med,,vgood
high,high,2,more,big,,acc
low,high,2,4,,med,acc
med,high,3,,med,high,acc
med,high,4,2,small,,unacc
low,high,2,2,,high,unacc
low,med,4,,small,high,good
med,,2,more,big,med,acc
vhigh,high,5more,,big,high,unacc
vhigh,vhigh,3,2,big,,unacc
,low,2,more,small,high,unacc
high,vhigh,4,,med,high,unacc
low,high,3,more,med,,unacc
low,high,4,more,,low,unacc
low,,4,more,big,med,good
,vhigh,5more,4,med,high,acc
vhigh,vhigh,5more,4,small,,unacc
low,vhigh,,4,med,high,acc
med,vhigh,3,,big,med,unacc
high,high,,more,big,med,acc
low,vhigh,,more,small,high,acc
high,low,,more,med,low,unacc
vhigh,med,2,more,big,,acc
,vhigh,2,4,med,high,unacc
vhigh,med,,more,small,med,unacc
high,high,4,,big,med,unacc
vhigh,,4,4,small,med,unacc
low,vhigh,2,,small,high,unacc
vhigh,high,,2,med,high,unacc
,low,5more,2,med,med,unacc
vhigh,vhigh,,more,med,low,unacc
high,high,5more,more,big,,acc
low,high,5more,more,big,,unacc
med,med,4,,med,low,unacc
low,,2,4,big,high,vgood
high,low,,more,med,med,acc
med,low,4,more,big,,vgood
low,med,4,,big,med,good
high,,2,more,med,high,acc
low,low,4,,big,high,unacc
high,med,3,,med,low,unacc
med,vhigh,5more,4,med,,acc
vhigh,high,,2,small,med,unacc
med,,2,2,med,med,unacc
high,,3,more,big,med,acc
low,high,5more,,big,low,unacc
high,vhigh,4,more,big,,unacc
med,,2,2,med,low,unacc
high,vhigh,3,4,big,,unacc
low,med,4,,small,med,acc
high,low,5more,more,,high,acc
high,med,5more,more,,med,unacc
vhigh,,3,4,small,med,unacc
vhigh,vhigh,,more,med,med,unacc
low,vhigh,3,4,,low,unacc
high,vhigh,3,2,,med,unacc
med,,5more,more,big,low,unacc
vhigh,,4,2,big,med,unacc
med,,5more,4,small,high,acc
med,low,3,,small,med,unacc
vhigh,low,4,2,,high,unacc
high,low,3,,med,high,acc
low,,3,2,big,med,unacc
low,med,2,,med,med,unacc
,low,2,more,small,high,unacc
,low,2,4,med,high,acc
low,vhigh,3,4,,med,unacc
low,low,,4,med,low,unacc
vhigh,,2,more,med,high,unacc
low,low,,4,med,high,vgood
med,vhigh,2,,big,high,unacc
med,med,3,,big,high,vgood
low,vhigh,5more,more,small,,acc
vhigh,,5more,2,big,med,unacc
low,high,4,more,big,,acc
,low,2,2,big,med,unacc
med,low,,more,big,low,unacc
,vhigh,3,2,big,high,unacc
,high,2,4,med,high,unacc
low,low,,more,small,med,unacc
,high,4,more,small,med,unacc
med,med,2,4,big,,acc
med,med,,more,big,low,unacc
